spec_code,spec_description
012200,Manhole
013100,Contractor's Management and Coordination
013300,Submittal Procedures
013500,Security Control
013501,Escort
014100,Permits
015000,Mobilization and Demobilization
015001,Traffic Control
015002,Sweeping
015123,Temporary Heating Cooling and Ventilating
015323,Temporary Ramps
015400,Construction Aids
015500,Vehicular Access and Parking
015600,Temporary Barriers and Enclosures
015713,Temporary Erosion Sediment and Pollution Control
016600,Product Storage and Handling Requirements
017329,Cutting and Patching
017400,Cleaning and Waste Management
017419,Construction Waste Recycling
019100,Commissioning
020500,Common Work Results for Existing Conditions
024113,Site Demolition
024119,Selective Interior Demolition
025000,Site Remediation
026100,Removal and Disposal of Contaminated Soils
026500,Underground Storage Tank Removal
027100,Groundwater Treatment
028213,Asbestos Abatement
028216,Asbestos Management
028313,Lead-Based Paint Management
028319,Lead-Based Paint Abatement
028400,PCB Remediation
030500,Common Work Results for Concrete
031100,Concrete Formwork
031500,Concrete Accessories
032000,Concrete Reinforcing
033000,Cast-In-Place Concrete
036000,Concrete Grouting
040500,Common Work Results for Masonry
040513,Masonry Mortar and Grout
040523,Masonry Accessories
042113,Brick Masonry
042200,Concrete Unit Masonry
050500,Common Work Results for Metals
051200,Structural Steel Framing
053100,Steel Decking
054000,Cold-Formed Metal Framing
055000,Metal Fabrications
055200,Metal Railings
060500,Common Work Results for Wood Plastics and Composites
061000,Rough Carpentry
062000,Finish Carpentry
064000,Architectural Woodwork
066000,Plastic Fabrications
070500,Common Work Results for Thermal and Moisture Protection
071000,Waterproofing
071100,Damp proofing
072100,Thermal Insulation
074100,Roof Panels
075000,Membrane Roofing
076100,Sheet Metal Roofing
076200,Sheet Metal Flashing and Trim
077200,Roof Accessories
078100,Applied Fireproofing
078400,Fire stopping
079200,Joint Sealants
079500,Expansion Control
080500,Common Work Results for Openings
081100,Metal Doors and Frames
083300,Coiling Doors and Grilles
084113,Aluminum Entrances and Storefronts
084400,Glazed Curtain Walls
085000,Windows
087000,Finish Hardware
088000,Glazing
089000,Louvers and Vents
090500,Common Work Results for Finishes
092100,Plaster and Gypsum Board Assemblies
092900,Gypsum Board
093000,Tile
095100,Acoustical Ceilings
096500,Resilient Flooring
096800,Carpeting
097200,Wall Coverings
099100,Painting
099700,Special Coatings
100500,Common Work Results for Specialties
101100,Visual Display Surfaces
101453,Traffic Signage
102800,Toilet and Bath Accessories
104400,Fire Protection Specialties
107343,Bus Stop Shelters
110500,Common Work Results for Equipment
111100,Vehicle Service Equipment
111200,Parking Control Equipment
114000,Food Service Equipment
120500,Common Work Results for Furnishings
125000,Furniture
130500,Common Work Results for Special Construction
133400,Pre-Engineered Buildings
140500,Common Work Results for Conveying Equipment
142000,Elevators
143100,Escalators
144000,Lifts
210500,Common Work Results for Fire Suppression
