Item_ID,Project_ID,Item Sequence,Specification Code,Item Description,Estimated Quantity,Unit
1,1,0001,,"Mobilization, Surveying, Cleanup, and Demobilization",1.0,LS
2,1,0002,,Work Zone Traffic Control,1.0,LS
3,1,0003,,"Temporary Erosion, Sediment, and Pollution Control",1.0,LS
4,1,0004,,Site Demolition,1.0,LS
5,1,0005,,Clearing and Grubbing,1.0,LS
6,1,0006,,Trench Excavation and General Native Backfill,577.0,LF
7,1,0007,,Trench Excavation and Select Native Backfill,622.0,LF
8,1,0008,,Trench Excavation and Select Backfill,48.0,LF
9,1,0009,,Offsite Haul and Disposal,6060.0,CY
10,1,0010,,Contaminated Soil Sediment Excavation and Disposal,255.0,TON
11,1,0011,,Shoring,1.0,LS
12,1,0012,,Pipe Zone and Bedding Material,2940.0,CY
13,1,0013,,Trench Stabilization,555.0,CY
14,1,0014,,Dewatering,1.0,LS
15,1,0015,,72-Inch Sewer Pipe,1260.0,LF
16,1,0016,,108-Inch Manhole,1.0,EACH
17,1,0017,,120-Inch Manhole,1.0,EACH
18,1,0018,,Subdrains,36.0,LF
19,1,0019,,Inlet (Type PB),3.0,EACH
20,1,0020,,McBride Slough Intake Structure,1.0,LS
21,1,0021,,Columbia Slough Outfall Structure,1.0,LS
22,1,0022,,Modified Concrete Curb and Gutter,36.0,LF
23,1,0023,,Sidewalk,500.0,SF
24,1,0024,,Aggregate Base Course,175.0,TON
25,1,0025,,Portland Cement Concrete Pavement (9-Inch),175.0,SY
26,1,0026,,Pavement Marking,1.0,LS
27,1,0027,,Guard Rail Removal and Replacement,72.0,LF
28,1,0028,,Area Seeding,1.0,LS
29,1,0029,,Stormwater Flow Through Pollution Reduction Facility,1.0,LS
30,1,0030,,Landscape Restoration,1.0,LS
31,2,0001,012200,"Mobilization, Cleanup, and Demobilization",1.0,LS
32,2,0002,012200,Sweeper,1.0,LS
33,2,0003,012200,Security Control Monitoring,1.0,LS
34,2,0004,012200,Work Zone and Traffic Control,1.0,LS
35,2,0005,012200,Escort,1.0,LS
36,2,0006,012200,Delineators,5.0,EACH
37,2,0006,015713,Construction Access,2.0,EACH
38,2,0007,015713,Inlet Protection,86.0,EACH
39,2,0007,015713,Inlet Protection,15.0,EACH
40,2,0008,,Construction Survey,1.0,LS
41,2,0008,015713,Jet Blast Control Material,0.2,ACRE
42,2,0009,,Construction Survey,1.0,LS
43,2,0009,P-101,Joint and Crack Repair,1000.0,LF
44,2,0010,P-101,Asphalt Pavement Removal - 3-Inch Depth,100.0,SY
45,2,0010,P-101,Cold Milling - 2-Inch Maximum Depth,58100.0,SY
46,2,0011,P-101,Asphalt Pavement Removal - 8-Inch Depth,1700.0,SY
47,2,0011,P-101,Cold Milling - 4.5-Inch Maximum Depth,30400.0,SY
48,2,0012,P-101,Cold Milling - 2-Inch Maximum Depth,550.0,SY
49,2,0012,P-156,Silt Fence,4200.0,LF
50,2,0013,,Borrow Excavation (P-152),14500.0,CY
51,2,0013,P-401,Hot Mix Asphalt (HMA) Bituminous Surface Course,15000.0,TON
52,2,0014,P-152,Unsuitable Excavation,250.0,CY
53,2,0014,P-403,Hot Mix Asphalt (HMA) Base Course,8500.0,TON
54,2,0015,P-152,Geotextile,1600.0,SY
55,2,0015,P-603,Bituminous Tack Coat,9500.0,GAL
56,2,0016,P-153,Controlled Low-Strength Material (CLSM),750.0,CY
57,2,0016,P-605,Joint Sealing Filler,25.0,GAL
58,2,0017,P-154,Subbase Course,150.0,CY
59,2,0017,P-606,Adhesive Compound,60.0,GAL
60,2,0018,P-156,Silt Fence,2300.0,LF
61,2,0018,P-608,Asphalt Surface Treatment,19600.0,SY
62,2,0019,P-209,Crushed Aggregate Base Course,650.0,CY
63,2,0019,P-608,Runway Friction Testing,1.0,LS
64,2,0020,P-403,Hot Mix Asphalt (HMA) Pavement Base Course,750.0,TON
65,2,0020,P-610,Structural Portland Cement Concrete (PCC),30.0,CY
66,2,0021,P-603,Bituminous Tack Coat,140.0,GAL
67,2,0021,P-610,Steel Reinforcement,400.0,LB
68,2,0022,P-610,Steel Reinforcement,1830.0,LB
69,2,0022,P-620,Runway Marking,92000.0,SF
70,2,0023,P-620,Reflective Media,5600.0,LB
71,2,0023,P-620,Runway Marking,750.0,SF
72,2,0024,P-620,Phasing Pavement Marking,7250.0,SF
73,2,0024,P-620,Reflective Media,50.0,LB
74,2,0025,D-701,8-Inch STS Pipe,439.0,LF
75,2,0025,P-621,Grooving,78600.0,SY
76,2,0026,D-701,12-Inch STS Pipe,749.0,LF
77,2,0026,L-108,No. 8 AWG 5kV Cable,5000.0,LF
78,2,0027,D-701,48-Inch STS Pipe,2336.0,LF
79,2,0027,L-108,No. 6 AWG Solid Wire for Counterpoise,1060.0,LF
80,2,0028,D-701,12-Inch RCP Pipe,52.0,LF
81,2,0028,L-108,Heat Shrink for 5kV L-823 Primary Connector,485.0,EACH
82,2,0029,D-701,24-Inch RCP Pipe,58.0,LF
83,2,0029,L-108,Ground Rod for Counterpoise,6.0,EACH
84,2,0030,D-751,"48-Inch Manhole, Type B",1.0,EACH
85,2,0030,L-110,1-Inch IMC in Existing AC,25.0,LF
86,2,0031,D-751,"48-Inch Manhole, Ditch Inlet",1.0,EACH
87,2,0031,L-110,2-Inch PVC Direct Buried,65.0,LF
88,2,0032,D-751,"72-Inch Manhole, Type A",6.0,EACH
89,2,0032,L-110,2-Inch PVC in Existing AC,1190.0,LF
90,2,0033,026100,Contaminated Material Excavation and Disposal,250.0,TON
91,2,0033,D-751,"84-Inch Manhole, Type A",1.0,EACH
92,2,0034,260500,General Electrical Removal,1.0,LS
93,2,0034,D-751,Catch Basin,4.0,EACH
94,2,0035,260500,Temporary Circuit Connection,1.0,LS
95,2,0035,T-901,Seeding,17.3,ACRE
96,2,0036,260553,3-Inch Diameter Brass Marker,2.0,EACH
