item_group,item_subgroup,item_rows,distinct_items,distinct_specs,pct_rows
ROADWORK_PAVING,PAVING_EARTHWORK,454,151,24,32.76
GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,225,86,5,16.23
ELECTRICAL,AIRFIELD_LIGHTING,171,133,5,12.34
PIPING_DRAINAGE,DRAINAGE_STRUCTURES,138,51,5,9.96
OTHER_REVIEW,UNCLASSIFIED_REVIEW,87,87,1,6.28
ELECTRICAL,POWER_DISTRIBUTION,66,28,8,4.76
PIPING_DRAINAGE,PIPING_UTILITY,59,40,5,4.26
LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,51,27,6,3.68
ELECTRICAL,AIRFIELD_SIGNAGE,46,41,2,3.32
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,39,28,3,2.81
SITEWORK_MISC,FENCING_GUARDRAIL_BOLLARDS,22,7,4,1.59
ELECTRICAL,TELECOM_IT,18,6,3,1.3
ELECTRICAL,EV_CHARGING,10,2,1,0.72
